"Cohort","Replication","KNN","LR","MLP"
"TCGA-ESCA","18","0.5","0.5","0.266666666666667"
"TCGA-ESCA","19","0.5","0.293333333333333","0.626666666666667"
"TCGA-ESCA","20","0.5","0.5","0.626666666666667"
"TCGA-ESCA","21","0.5","0.5","0.293333333333333"
"TCGA-ESCA","22","0.5","0.5","0.146666666666667"
"TCGA-ESCA","23","0.5","0.8","0.813333333333333"
"TCGA-ESCA","24","0.5","0.5","0.413333333333333"
"TCGA-ESCA","25","0.5","0.5","0.52"
"TCGA-ESCA","26","0.5","0.5","0.52"
"TCGA-ESCA","27","0.5","0.613333333333333","0.56"
"TCGA-ESCA","28","0.5","0.346666666666667","0.4"
"TCGA-ESCA","29","0.5","0.5","0.453333333333333"
"TCGA-ESCA","30","0.5","0.44","0.32"
"TCGA-ESCA","31","0.5","0.5","0.653333333333333"
"TCGA-ESCA","32","0.5","0.613333333333333","0.453333333333333"
"TCGA-ESCA","33","0.5","0.5","0.426666666666667"
"TCGA-ESCA","34","0.5","0.48","0.573333333333333"
"TCGA-ESCA","35","0.5","0.573333333333333","0.653333333333333"
"TCGA-ESCA","36","0.5","0.5","0.28"
"TCGA-ESCA","37","0.5","0.5","0.36"
"TCGA-ESCA","38","0.5","0.5","0.68"
"TCGA-ESCA","39","0.5","0.5","0.733333333333333"
"TCGA-ESCA","40","0.5","0.5","0.586666666666667"
"TCGA-ESCA","41","0.5","0.586666666666667","0.72"
"TCGA-ESCA","42","0.5","0.8","0.733333333333333"
"TCGA-ESCA","43","0.5","0.586666666666667","0.64"
"TCGA-ESCA","44","0.5","0.826666666666667","0.546666666666667"
"TCGA-ESCA","45","0.5","0.813333333333333","0.76"
"TCGA-ESCA","46","0.5","0.52","0.413333333333333"
"TCGA-ESCA","47","0.5","0.5","0.68"
"TCGA-ESCA","48","0.5","0.5","0.546666666666667"
"TCGA-ESCA","49","0.5","0.613333333333333","0.373333333333333"
"TCGA-ESCA","50","0.5","0.573333333333333","0.52"
"TCGA-ESCA","51","0.5","0.573333333333333","0.32"
"TCGA-ESCA","52","0.5","0.386666666666667","0.466666666666667"
"TCGA-ESCA","53","0.5","0.6","0.626666666666667"
"TCGA-ESCA","54","0.5","0.786666666666667","0.466666666666667"
"TCGA-ESCA","55","0.5","0.786666666666667","0.813333333333333"
"TCGA-ESCA","56","0.5","0.5","0.68"
"TCGA-ESCA","57","0.5","0.56","0.64"
"TCGA-ESCA","58","0.5","0.546666666666667","0.853333333333333"
"TCGA-ESCA","59","0.546666666666667","0.5","0.4"
"TCGA-ESCA","60","0.5","0.36","0.2"
"TCGA-ESCA","61","0.5","0.76","0.573333333333333"
"TCGA-ESCA","62","0.5","0.64","0.173333333333333"
"TCGA-ESCA","63","0.5","0.5","0.72"
"TCGA-ESCA","64","0.5","0.573333333333333","0.92"
"TCGA-ESCA","65","0.5","0.84","0.573333333333333"
